Rc Rg Za current
7.6 2.58 11.0 467.5749
7.6 2.68 7.0 2120.2852
7.6 2.68 7.5 1626.1162
7.6 2.68 8.0 1289.1412
7.6 2.68 8.5 1050.4967
7.6 2.68 9.0 873.3686
7.6 2.68 9.5 736.969
7.6 2.68 10.0 634.3828
7.6 2.68 10.5 553.1608
7.6 2.68 11.0 488.1922
7.6 2.78 7.0 2190.9249
7.6 2.78 7.5 1683.3607
7.6 2.78 8.0 1336.6702
7.6 2.78 8.5 1089.2442
7.6 2.78 9.0 904.0253
7.6 2.78 9.5 765.5593
7.6 2.78 10.0 659.4702
7.6 2.78 10.5 575.3946
7.6 2.78 11.0 507.7868
7.6 2.88 7.0 2261.1215
7.6 2.88 7.5 1741.4308
7.6 2.88 8.0 1384.4927
7.6 2.88 8.5 1128.986
7.6 2.88 9.0 935.1661
7.6 2.88 9.5 792.4804
7.6 2.88 10.0 682.7276
7.6 2.88 10.5 595.9256
7.6 2.88 11.0 525.9463
7.6 2.98 7.0 2332.7173
7.6 2.98 7.5 1798.9073
7.6 2.98 8.0 1431.9448
7.6 2.98 8.5 1169.0316
7.6 2.98 9.0 970.1206
7.6 2.98 9.5 823.6873
7.6 2.98 10.0 710.2831
7.6 2.98 10.5 619.275
7.6 2.98 11.0 546.5385
7.6 3.08 7.0 2405.1402
7.6 3.08 7.5 1856.1941
7.6 3.08 8.0 1480.2465
7.6 3.08 8.5 1209.567
7.6 3.08 9.0 1004.9786
7.6 3.08 9.5 853.3326
7.6 3.08 10.0 735.7474
7.6 3.08 10.5 642.4812
7.6 3.08 11.0 566.7254
7.6 3.18 7.0 2476.5525
7.6 3.18 7.5 1914.5314
7.6 3.18 8.0 1528.8402
7.6 3.18 8.5 1251.869
7.6 3.18 9.0 1040.7025
7.6 3.18 9.5 884.8219
7.6 3.18 10.0 763.1095
7.6 3.18 10.5 666.2264
7.6 3.18 11.0 587.8225
7.6 3.28 7.0 2552.1159
7.6 3.28 7.5 1975.5932
7.6 3.28 8.0 1579.1235
7.6 3.28 8.5 1292.5238
7.6 3.28 9.0 1075.8631
7.6 3.28 9.5 913.4789
7.6 3.28 10.0 788.3051
7.6 3.28 10.5 688.6016
7.6 3.28 11.0 607.9638
7.6 3.38 7.0 2627.7856
7.6 3.38 7.5 2035.772
7.6 3.38 8.0 1628.9372
7.6 3.38 8.5 1327.6451
7.6 3.38 9.0 1110.9485
7.6 3.38 9.5 945.7729
7.6 3.38 10.0 816.1691
7.6 3.38 10.5 713.029
7.6 3.38 11.0 629.5943
7.6 3.48 7.0 2704.9935
7.6 3.48 7.5 2096.8378
7.6 3.48 8.0 1678.654
7.6 3.48 8.5 1378.3848
7.6 3.48 9.0 1146.8437
7.6 3.48 9.5 977.5547
7.6 3.48 10.0 842.9544
7.6 3.48 10.5 735.7144
7.6 3.48 11.0 650.9994
7.6 3.58 7.0 2778.0685
7.6 3.58 7.5 2158.6143
7.6 3.58 8.0 1718.5405
7.6 3.58 8.5 1410.5597
7.6 3.58 9.0 1181.8161
7.6 3.58 9.5 1009.1472
7.6 3.58 10.0 868.8522
7.6 3.58 10.5 759.6546
7.6 3.58 11.0 671.3886
7.6 3.68 7.0 2856.133
7.6 3.68 7.5 2221.5313
7.6 3.68 8.0 1782.9254
7.6 3.68 8.5 1453.144
7.6 3.68 9.0 1218.5308
7.6 3.68 9.5 1038.6269
7.6 3.68 10.0 897.3501
7.6 3.68 10.5 784.2079
7.6 3.68 11.0 692.8884
7.6 3.78 7.0 2936.3059
7.6 3.78 7.5 2285.5977
7.6 3.78 8.0 1834.4773
7.6 3.78 8.5 1498.9785
7.6 3.78 9.0 1257.4377
7.6 3.78 9.5 1071.6433
7.6 3.78 10.0 925.7347
7.6 3.78 10.5 808.9994
7.6 3.78 11.0 714.6798
7.6 3.88 7.0 3014.5778
7.6 3.88 7.5 2348.9328
7.6 3.88 8.0 1887.2581
7.6 3.88 8.5 1542.6489
7.6 3.88 9.0 1294.3623
7.6 3.88 9.5 1103.5275
7.6 3.88 10.0 953.8499
7.6 3.88 10.5 833.8427
7.6 3.88 11.0 736.2139
7.6 3.98 7.0 3091.3776
7.6 3.98 7.5 2413.1111
7.6 3.98 8.0 1940.486
7.6 3.98 8.5 1587.2575
7.6 3.98 9.0 1332.151
7.6 3.98 9.5 1136.8583
7.6 3.98 10.0 982.4726
7.6 3.98 10.5 858.7499
7.6 3.98 11.0 758.7564
7.8 1.98 7.0 1646.614
7.8 1.98 7.5 1242.8933
7.8 1.98 8.0 974.4356
7.8 1.98 8.5 785.1584
7.8 1.98 9.0 646.5336
7.8 1.98 9.5 544.9803
7.8 1.98 10.0 467.3538
7.8 1.98 10.5 406.8555
7.8 1.98 11.0 359.4302
7.8 2.08 7.0 1711.0496
7.8 2.08 7.5 1296.1565
7.8 2.08 8.0 1017.328
7.8 2.08 8.5 821.9414
7.8 2.08 9.0 676.5311
7.8 2.08 9.5 571.3972
7.8 2.08 10.0 490.9706
7.8 2.08 10.5 427.2794
7.8 2.08 11.0 377.0414
7.8 2.18 7.0 1775.3068
7.8 2.18 7.5 1349.0302
7.8 2.18 8.0 1060.6152
7.8 2.18 8.5 858.1842
7.8 2.18 9.0 706.2004
7.8 2.18 9.5 598.4779
7.8 2.18 10.0 513.9274
7.8 2.18 10.5 447.2233
7.8 2.18 11.0 394.4503
7.8 2.28 7.0 1841.061
7.8 2.28 7.5 1400.2324
7.8 2.28 8.0 1104.8932
7.8 2.28 8.5 894.4167
7.8 2.28 9.0 739.1448
7.8 2.28 9.5 623.7549
7.8 2.28 10.0 536.2605
7.8 2.28 10.5 468.0566
7.8 2.28 11.0 411.8473
7.8 2.38 7.0 1908.8496
7.8 2.38 7.5 1455.5205
7.8 2.38 8.0 1148.7707
7.8 2.38 8.5 932.6872
7.8 2.38 9.0 774.1762
7.8 2.38 9.5 651.5081
7.8 2.38 10.0 560.6679
7.8 2.38 10.5 488.4103
7.8 2.38 11.0 430.7686
7.8 2.48 7.0 1976.5908
7.8 2.48 7.5 1510.4923
