gunshot100% waist100%
10.0 0.6833
10.12 0.7051
6.72 0.4495
7.0 0.5085
7.36 0.5728
7.92 0.5751
8.12 0.7018
9.76 0.6533
9.88 0.6594
10.0 0.6677
10.2 0.6746
6.84 0.4618
7.16 0.5362
7.4 0.5606
7.72 0.6188
8.08 0.6931
8.52 0.6331
10.08 0.6773
10.2 0.6787
11.6 0.67
6.92 0.4431
7.24 0.5069
7.44 0.5376
7.76 0.6006
8.08 0.677
9.92 0.636
10.0 0.6378
10.32 0.648
10.32 0.6594
6.92 0.4014
7.2 0.4883
7.64 0.5562
9.16 0.7273
8.48 0.603
8.56 0.5904
10.2 0.646
10.36 0.6368
10.48 0.6661
6.88 0.3611
7.36 0.4729
7.6 0.531
7.96 0.6053
8.16 0.6379
10.12 0.6046
10.2 0.6092
10.28 0.6007
10.52 0.6335
7.08 0.3856
7.2 0.4265
7.6 0.5014
8.0 0.588
10.0 0.5717
8.64 0.5527
10.28 0.6023
10.48 0.6033
10.64 0.6252
7.0 0.3358
7.4 0.4391
7.6 0.4787
8.0 0.4159
8.44 0.4975
8.8 0.5677
10.48 0.5889
10.6 0.6242
10.68 0.6069
7.12 0.3456
7.4 0.3974
7.76 0.4948
8.2 0.4254
8.56 0.5122
10.36 0.5475
10.52 0.5749
10.64 0.5837
10.76 0.5919
7.0 0.2721
7.72 0.3424
7.72 0.457
8.4 0.4388
8.76 0.5173
8.84 0.5159
10.52 0.55
10.72 0.5589
12.36 0.6136
7.16 0.2736
7.48 0.3484
8.16 0.3565
8.16 0.3542
8.6 0.4508
10.56 0.5137
10.68 0.5513
10.8 0.5594
10.92 0.5559
6.92 0.1736
7.24 0.2711
7.84 0.4322
8.24 0.3894
10.4 0.4551
10.48 0.4847
10.56 0.4751
10.84 0.5146
10.96 0.5433
7.08 0.1745
7.48 0.2886
8.04 0.2277
8.6 0.3819
8.56 0.3655
8.96 0.479
10.84 0.5072
11.04 0.5153
11.0 0.5211
7.24 0.1804
7.56 0.3017
7.88 0.3851
10.48 0.3892
8.64 0.3777
10.76 0.4464
10.88 0.4764
11.0 0.4922
11.16 0.5142
6.8 0.0058
7.28 0.1861
7.64 0.3011
8.16 0.2408
8.88 0.3711
8.88 0.3654
11.12 0.506
11.2 0.5131
11.28 0.5172
6.28 0.6062
6.64 0.6528
6.96 0.6923
7.32 0.7349
18.68 0.7561
17.84 0.669
17.6 0.717
18.92 0.7332
18.96 0.7386
6.36 0.5732
6.72 0.6265
7.08 0.6754
7.4 0.7164
17.16 0.6574
18.44 0.6312
18.04 0.7195
9.56 0.7207
18.28 0.7539
6.48 0.559
6.8 0.6121
7.16 0.66
7.48 0.7029
7.88 0.6648
17.6 0.703
17.52 0.726
18.64 0.7054
18.72 0.7536
6.56 0.5394
6.76 0.5846
7.2 0.6484
7.56 0.7011
16.8 0.6536
17.96 0.6767
9.52 0.6913
9.8 0.7331
9.88 0.7185
6.56 0.5237
6.84 0.569
7.24 0.6173
7.6 0.6803
7.92 0.7399
8.28 0.6896
18.44 0.6881
9.76 0.7024
9.84 0.6855
6.6 0.4831
6.92 0.5487
7.24 0.6078
7.64 0.659
8.0 0.7248
17.52 0.6659
9.76 0.6966
9.6 0.6447
18.76 0.7057
6.64 0.4691
7.0 0.5281
7.32 0.5962
7.68 0.6547
8.04 0.7188
8.4 0.6629
9.92 0.6736
10.0 0.6836
10.2 0.7234
6.72 0.4462
7.04 0.5064
7.36 0.5703
7.72 0.6358
8.12 0.7016
9.76 0.6533
9.88 0.6597
10.0 0.6674
10.2 0.6771
6.84 0.4653
7.2 0.5252
7.36 0.5618
7.72 0.6183
8.12 0.6885
8.52 0.6361
10.04 0.6547
11.48 0.6888
11.6 0.6729
6.92 0.4443
7.2 0.5111
7.56 0.573
7.76 0.6028
8.08 0.6744
9.92 0.6399
10.0 0.6321
10.24 0.6501
10.36 0.6657
6.92 0.4017
7.2 0.4841
7.6 0.5499
7.76 0.5865
8.48 0.606
8.56 0.5922
10.2 0.6469
10.32 0.6311
10.48 0.6637
6.84 0.3635
7.32 0.4851
7.6 0.5362
7.96 0.6088
8.12 0.6454
8.76 0.6162
10.2 0.6084
10.4 0.6222
10.52 0.638
7.0 0.3978
